2004-01-13,1.5,169754200
2004-01-14,1.51,155010800
2004-01-15,1.42,254552200
2004-01-16,1.42,93205000
2004-01-20,1.42,78986600
2004-01-21,1.41,56665000
2004-01-22,1.38,51251200
2004-01-23,1.41,56792400
2004-01-26,1.43,67817400
2004-01-27,1.44,76767600
2004-01-28,1.4,68850600
2004-01-29,1.41,53174800
2004-01-30,1.41,46324600
2004-02-02,1.39,71857800
2004-02-03,1.39,45203200
2004-02-04,1.36,76388200
2004-02-05,1.4,88211200
2004-02-06,1.42,48335000
2004-02-09,1.41,47065200
2004-02-10,1.43,63835800
2004-02-11,1.48,87136000
2004-02-12,1.48,45997000
2004-02-13,1.43,78995000
2004-02-17,1.44,42739200
2004-02-18,1.45,35408800
2004-02-19,1.4,80770200
2004-02-20,1.4,69400800
2004-02-23,1.38,48519800
2004-02-24,1.39,64764000
2004-02-25,1.42,69069000
2004-02-26,1.44,49602000
2004-02-27,1.49,117209400
2004-03-01,1.5,80420200
2004-03-02,1.48,64171800
2004-03-03,1.49,56282800
2004-03-04,1.57,165055800
2004-03-05,1.67,385149800
2004-03-08,1.62,130718000
2004-03-09,1.69,154590800
2004-03-10,1.73,251741000
2004-03-11,1.69,148962800
2004-03-12,1.72,82306000
2004-03-15,1.65,120429400
2004-03-16,1.61,151358200
2004-03-17,1.63,102858000
2004-03-18,1.6,80270400
2004-03-19,1.61,102144000
2004-03-22,1.61,104757800
2004-03-23,1.58,96378800
2004-03-24,1.59,107053800
2004-03-25,1.67,141611400
2004-03-26,1.69,104973400
2004-03-29,1.74,87682000
2004-03-30,1.74,89919200
2004-03-31,1.69,97693400
2004-04-01,1.69,79583000
2004-04-02,1.71,68619600
2004-04-05,1.77,96418000
2004-04-06,1.73,64498000
2004-04-07,1.7,63779800
2004-04-08,1.72,60229400
2004-04-12,1.75,57635200
2004-04-13,1.68,109099200
2004-04-14,1.66,159933200
2004-04-15,1.83,440361600
2004-04-16,1.82,100732800
2004-04-19,1.77,178088400
2004-04-20,1.73,88629800
2004-04-21,1.73,81468800
2004-04-22,1.73,86146200
2004-04-23,1.73,78957200
2004-04-26,1.69,57782200
2004-04-27,1.68,70966000
2004-04-28,1.65,57792000
2004-04-29,1.67,115197600
2004-04-30,1.61,116625600
2004-05-03,1.63,74408600
2004-05-04,1.63,69995800
2004-05-05,1.66,59526600
2004-05-06,1.66,65889600
2004-05-07,1.66,104759200
2004-05-10,1.64,62494600
2004-05-11,1.69,76293000
2004-05-12,1.7,61355000
2004-05-13,1.69,57463000
2004-05-14,1.69,64450400
2004-05-17,1.66,75111400
2004-05-18,1.69,51515800
2004-05-19,1.65,93898000
2004-05-20,1.67,49074200
2004-05-21,1.69,44973600
2004-05-24,1.7,58900800
2004-05-25,1.77,79994600
2004-05-26,1.78,80542000
2004-05-27,1.76,58993200
2004-05-28,1.75,36429400
2004-06-01,1.75,45533600
2004-06-02,1.8,79678200
2004-06-03,1.77,62732600
2004-06-04,1.79,99778000
2004-06-07,1.86,73969000
2004-06-08,1.89,103905200
2004-06-09,1.88,87301200
2004-06-10,1.92,64394400
2004-06-14,1.88,60996600
2004-06-15,1.91,111158600
2004-06-16,2.04,227410400
2004-06-17,2.05,137830000
2004-06-18,2.05,101563000
2004-06-21,2.02,97553400
2004-06-22,2.06,90127800
2004-06-23,2.1,97717200
2004-06-24,2.07,63128800
2004-06-25,2.1,80857000
2004-06-28,2.03,130274200
2004-06-29,2.03,147638400
2004-06-30,2.03,93261000
2004-07-01,2.01,85485400
2004-07-02,1.94,227670800
2004-07-06,1.93,87245200
2004-07-07,1.89,99498000
2004-07-08,1.88,58345000
2004-07-09,1.87,52215800
2004-07-12,1.82,127905400
2004-07-13,1.82,79044000
2004-07-14,1.84,208950000
2004-07-15,2.05,441931000
2004-07-16,2.01,122095400
2004-07-19,1.99,133292600
2004-07-20,2.01,80936800
2004-07-21,1.97,75314400
2004-07-22,1.97,83529600
2004-07-23,1.91,68392800
2004-07-26,1.95,98483000
2004-07-27,2.02,106251600
2004-07-28,2.01,71262800
2004-07-29,2.03,55539400
2004-07-30,2.02,60755800
2004-08-02,1.97,91273000
2004-08-03,1.95,52907400
2004-08-04,1.98,69122200
2004-08-05,1.96,61125400
2004-08-06,1.86,123072600
2004-08-09,1.89,72711800
2004-08-10,1.96,87759000
2004-08-11,1.93,80598000
2004-08-12,1.89,56550200
2004-08-13,1.92,82012000
2004-08-16,1.92,108918600
2004-08-17,1.92,80754800
2004-08-18,1.98,91163800
2004-08-19,1.91,97230000
2004-08-20,1.92,79195200
